sector,yStock,xStock,intercept,beta,adf_pvalue,sigma,quality,intercept_pct,explained_pct,z_score
BANK,BANKBARODA,IDFCFIRSTB,21.5118,3.1711,0.0137,11.2772,POOR,7.2,92.8,0.69
BANK,SBIN,BANKBARODA,163.9171,2.7363,0.0015,17.2579,POOR,16.6,83.4,-0.12
BANK,PNB,IDFCFIRSTB,15.2349,1.2929,0.0253,3.942,POOR,12.3,87.7,-0.5
CEMENT,AMBUJACEM,DALBHARAT,295.3615,0.1252,0.0268,18.8387,POOR,52.8,47.2,-0.17
CEMENT,ULTRACEMCO,DALBHARAT,6713.782,2.4644,0.0026,290.9469,POOR,56.4,43.6,-0.27
CEMENT,ULTRACEMCO,AMBUJACEM,3499.5029,14.9636,0.0,341.2789,POOR,29.4,70.6,0.08
CONSUMER,CROMPTON,TRENT,76.6611,0.0474,0.0051,17.0058,POOR,30.8,69.2,-1.83
CONSUMER,IRCTC,PAGEIND,350.1056,0.0088,0.0134,19.3652,POOR,51.1,48.9,1.07
CONSUMER,PAGEIND,TRENT,19167.0815,4.6963,0.0064,1963.6576,POOR,53.8,46.2,-1.89
ENERGY,BPCL,HINDPETRO,21.6153,0.7233,0.0128,8.6919,POOR,5.7,94.3,-0.09
ENERGY,RELIANCE,BPCL,533.0003,2.7543,0.0051,43.273,POOR,33.8,66.2,-0.19
ENERGY,IOC,HINDPETRO,20.879,0.2928,0.0019,3.234,POOR,12.6,87.4,-0.3
ENERGY,RELIANCE,HINDPETRO,621.5199,1.9195,0.0171,56.0792,POOR,39.4,60.6,-0.05
ENERGY,RELIANCE,IOC,481.1849,6.581,0.036,51.2095,POOR,30.5,69.5,0.05
FINANCE,JIOFIN,HDFCAMC,79.864,0.0843,0.0112,15.2961,POOR,27.0,73.0,-0.48
FINANCE,NUVAMA,JIOFIN,298.1869,3.6224,0.0358,83.0666,POOR,20.4,79.6,1.07
FINANCE,CAMS,KFINTECH,269.8253,0.454,0.0,28.224,POOR,36.7,63.3,-0.84
FINANCE,CHOLAFIN,BAJFINANCE,229.054,1.42,0.0179,51.8044,POOR,13.3,86.7,2.18
FINANCE,BAJAJFINSV,CHOLAFIN,779.5186,0.7739,0.0003,50.1795,POOR,38.3,61.7,-1.53
FINANCE,BAJAJFINSV,SBILIFE,1131.4705,0.4796,0.0291,68.8383,POOR,55.5,44.5,-1.06
FINANCE,CHOLAFIN,SBILIFE,537.0579,0.5726,0.0267,76.055,POOR,31.2,68.8,0.24
FINANCE,ICICIGI,CDSL,1291.6874,0.4025,0.0001,54.8709,POOR,66.0,34.0,1.51
FINANCE,LICI,CDSL,439.8784,0.2857,0.0004,22.1681,POOR,51.6,48.4,-0.01
FINANCE,NUVAMA,CDSL,308.014,0.6862,0.0404,80.1718,POOR,21.1,78.9,1.97
