date,open,high,low,close,volume,oi
2024-01-03 00:00:00+05:30,3006.4,3120.0,2998.95,3079.45,1241600,2834800
2024-01-04 00:00:00+05:30,3090.05,3121.4,3080.1,3088.8,531200,2822000
2024-01-05 00:00:00+05:30,3094.2,3109.9,3058.0,3079.55,434400,2801600
2024-01-08 00:00:00+05:30,3072.9,3087.75,3048.5,3052.5,648400,2783600
2024-01-09 00:00:00+05:30,3063.8,3149.8,3063.8,3121.7,1377600,2916400
2024-01-10 00:00:00+05:30,3117.2,3193.65,3117.15,3187.1,1296000,2953200
2024-01-11 00:00:00+05:30,3193.0,3218.0,3185.1,3189.85,633200,2930400
2024-01-12 00:00:00+05:30,3209.95,3242.0,3166.35,3217.9,852000,2916400
2024-01-15 00:00:00+05:30,3229.7,3230.45,3185.0,3204.7,448400,2916000
2024-01-16 00:00:00+05:30,3214.95,3228.5,3154.0,3172.55,646000,2797600
2024-01-17 00:00:00+05:30,3148.65,3192.0,3127.7,3150.35,535600,2796000
2024-01-18 00:00:00+05:30,3150.05,3190.8,3098.8,3160.15,617200,2770800
2024-01-19 00:00:00+05:30,3175.0,3224.35,3154.2,3215.85,612000,2701600
2024-01-20 00:00:00+05:30,3171.6,3249.0,3171.6,3197.7,397200,2660400
2024-01-23 00:00:00+05:30,3175.0,3220.0,3145.05,3160.05,1494000,1762400
2024-01-24 00:00:00+05:30,3159.15,3244.95,3126.75,3228.35,1036000,1043600
2024-01-25 00:00:00+05:30,3223.8,3245.25,3182.4,3224.15,1227600,114400
2024-01-29 00:00:00+05:30,3257.0,3320.0,3251.7,3271.3,914000,3054000
2024-01-30 00:00:00+05:30,3267.95,3292.5,3045.0,3069.4,2084400,2938000
2024-01-31 00:00:00+05:30,3065.1,3126.55,3015.3,3102.6,1171200,2967200
2024-02-01 00:00:00+05:30,3116.9,3149.85,3081.95,3115.65,664000,2972000
2024-02-02 00:00:00+05:30,3150.7,3222.65,3132.0,3141.45,1378800,2958400
2024-02-05 00:00:00+05:30,3183.7,3193.0,3018.5,3043.85,1654000,2900400
2024-02-06 00:00:00+05:30,3065.05,3126.0,3032.65,3051.0,1302000,3124800
2024-02-07 00:00:00+05:30,3061.4,3654.0,2961.85,3628.4,12481200,3550400
2024-02-08 00:00:00+05:30,3720.0,3950.0,3629.1,3853.15,8632400,3143600
2024-02-09 00:00:00+05:30,3830.4,3876.45,3687.2,3777.1,2790400,2935600
2024-02-12 00:00:00+05:30,3780.0,3841.0,3717.0,3807.25,1601200,2885600
2024-02-13 00:00:00+05:30,3803.95,3887.9,3794.75,3859.55,1812800,2836400
2024-02-14 00:00:00+05:30,3819.95,3958.0,3795.2,3933.8,1585200,2843600
