DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
03-Jan-2025,EQ,"599.00","599.75","590.00","599.00","590.25","591.15","594.44","772.65","496.35",6291674,"3,74,00,06,045.30",151328
02-Jan-2025,EQ,"594.90","600.55","588.60","592.95","600.55","599.00","595.65","772.65","496.35",8525001,"5,07,79,28,979.60",260265
01-Jan-2025,EQ,"601.50","603.75","587.50","602.45","594.00","592.95","593.39","772.65","496.35",9217246,"5,46,94,05,388.25",138869
31-Dec-2024,EQ,"601.40","605.90","597.45","601.10","601.90","602.45","601.78","772.65","496.35",3807525,"2,29,12,94,085.20",82312
30-Dec-2024,EQ,"615.40","620.30","599.15","617.40","603.10","601.10","607.88","772.65","496.35",8023050,"4,87,70,79,838.45",137945
27-Dec-2024,EQ,"628.75","632.85","615.70","628.75","617.90","617.40","621.74","772.65","496.35",3391148,"2,10,84,21,655.35",54710
26-Dec-2024,EQ,"630.00","633.45","626.75","627.45","630.00","628.75","628.82","772.65","496.35",4476967,"2,81,51,95,638.60",70962
24-Dec-2024,EQ,"635.00","638.10","625.75","634.15","629.00","627.45","629.52","772.65","496.35",4830151,"3,04,06,70,128.70",94152
23-Dec-2024,EQ,"625.55","635.90","625.55","622.65","634.30","634.15","632.93","772.65","496.35",2921238,"1,84,89,36,707.30",66636
20-Dec-2024,EQ,"629.35","640.60","620.70","629.35","624.45","622.65","628.08","772.65","496.35",5964142,"3,74,59,70,987.20",87373
19-Dec-2024,EQ,"620.60","633.25","614.10","633.00","630.00","629.35","625.42","772.65","496.35",5198027,"3,25,09,63,703.05",127668
18-Dec-2024,EQ,"641.95","642.05","628.25","639.45","633.20","633.00","634.98","772.65","496.35",3753662,"2,38,35,02,871.00",107104
17-Dec-2024,EQ,"649.50","653.60","637.10","653.50","638.70","639.45","643.02","772.65","496.35",4800541,"3,08,68,28,813.50",149566
16-Dec-2024,EQ,"661.30","666.60","652.05","662.10","652.90","653.50","656.07","772.65","496.35",2619582,"1,71,86,26,640.50",74666
13-Dec-2024,EQ,"663.00","665.55","648.00","668.70","665.00","662.10","659.08","772.65","496.35",4198819,"2,76,73,57,875.30",99241
12-Dec-2024,EQ,"675.00","679.80","662.00","670.50","668.80","668.70","669.17","772.65","496.35",6585440,"4,40,68,07,695.20",96535
11-Dec-2024,EQ,"671.00","679.80","668.05","668.90","670.00","670.50","674.01","772.65","496.35",3418716,"2,30,42,38,949.10",75076
10-Dec-2024,EQ,"675.00","676.00","664.70","670.90","669.80","668.90","669.04","772.65","496.35",3950822,"2,64,32,43,105.05",75840
09-Dec-2024,EQ,"666.95","672.50","654.25","670.15","670.30","670.90","664.02","772.65","496.35",5079369,"3,37,28,11,263.75",117944
06-Dec-2024,EQ,"673.45","676.50","667.25","670.85","670.00","670.15","671.57","772.65","496.35",2723680,"1,82,91,37,874.25",53529
05-Dec-2024,EQ,"664.00","673.95","658.70","663.05","670.30","670.85","667.98","772.65","496.35",5156111,"3,44,41,55,766.15",135948
04-Dec-2024,EQ,"667.55","671.25","659.65","667.55","662.40","663.05","664.50","772.65","496.35",2785457,"1,85,09,28,307.25",49725
03-Dec-2024,EQ,"665.40","669.60","657.00","662.60","666.50","667.55","663.43","772.65","496.35",3306465,"2,19,36,24,280.80",67073
