DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
05-Mar-2025,EQ,"717.55","731.30","717.00","716.05","730.00","730.35","725.61","912.00","680.00",10409805,"7,55,34,94,263.10",189027
04-Mar-2025,EQ,"693.00","718.45","692.10","695.30","716.40","716.05","712.88","912.00","680.00",14386214,"10,25,56,88,811.35",220118
03-Mar-2025,EQ,"690.15","697.40","680.00","688.80","696.15","695.30","689.59","912.00","680.00",10598479,"7,30,85,57,453.60",187766
28-Feb-2025,EQ,"700.90","701.35","682.60","703.90","689.80","688.80","690.06","912.00","682.60",15780609,"10,88,95,17,995.15",252397
27-Feb-2025,EQ,"716.00","717.70","701.10","710.90","702.30","703.90","707.28","912.00","701.10",12033139,"8,51,07,89,065.15",205060
25-Feb-2025,EQ,"718.95","718.95","710.00","716.40","710.05","710.90","713.58","912.00","710.00",8599635,"6,13,65,27,160.15",185705
24-Feb-2025,EQ,"710.50","719.75","710.50","722.00","716.20","716.40","715.85","912.00","710.50",6912148,"4,94,80,71,432.70",193311
21-Feb-2025,EQ,"727.30","731.70","720.00","729.70","720.35","722.00","724.72","912.00","711.55",6571602,"4,76,25,73,887.35",173223
20-Feb-2025,EQ,"724.90","731.50","723.35","727.30","728.85","729.70","729.14","912.00","711.55",7423268,"5,41,25,95,518.05",149827
19-Feb-2025,EQ,"722.05","734.85","722.05","725.80","726.00","727.30","728.86","912.00","711.55",6766606,"4,93,18,83,943.60",141913
18-Feb-2025,EQ,"727.70","728.25","717.35","727.70","725.50","725.80","723.76","912.00","711.55",8562003,"6,19,68,17,709.85",196786
17-Feb-2025,EQ,"719.05","728.75","711.55","722.15","727.90","727.70","721.67","912.00","711.55",9093600,"6,56,25,43,848.90",219084
14-Feb-2025,EQ,"730.95","732.90","716.20","727.65","720.80","722.15","724.57","912.00","702.15",10417539,"7,54,82,47,748.35",221611
13-Feb-2025,EQ,"734.40","737.50","726.15","733.15","726.80","727.65","731.83","912.00","702.15",12370571,"9,05,31,89,302.10",213728
12-Feb-2025,EQ,"733.15","738.70","717.15","731.10","732.95","733.15","729.15","912.00","702.15",12697743,"9,25,85,58,059.35",242862
11-Feb-2025,EQ,"737.45","740.15","726.55","736.80","731.00","731.10","731.28","912.00","702.15",13017060,"9,51,91,45,846.95",236472
10-Feb-2025,EQ,"740.00","743.90","733.40","737.20","736.50","736.80","737.43","912.00","702.15",12667049,"9,34,10,09,055.85",270972
07-Feb-2025,EQ,"759.80","759.90","731.75","752.25","736.40","737.20","740.52","912.00","637.70",37240692,"27,57,74,11,008.65",578986
06-Feb-2025,EQ,"769.00","770.85","750.05","766.05","753.95","752.25","758.86","912.00","637.70",32745391,"24,84,93,00,016.65",439301
05-Feb-2025,EQ,"780.00","782.00","765.00","779.20","765.50","766.05","771.76","912.00","637.70",13419162,"10,35,63,28,683.05",283249
04-Feb-2025,EQ,"767.00","781.25","765.65","760.95","778.50","779.20","776.12","912.00","637.70",12020807,"9,32,95,36,078.75",237155
03-Feb-2025,EQ,"762.80","762.80","753.15","766.00","761.05","760.95","758.76","912.00","637.70",7862190,"5,96,54,88,760.55",182478
01-Feb-2025,EQ,"774.80","778.75","752.15","772.90","766.40","766.00","765.95","912.00","615.60",9363077,"7,17,16,56,657.15",146411
31-Jan-2025,EQ,"764.90","777.55","759.50","762.60","773.10","772.90","770.25","912.00","615.60",10083763,"7,76,69,79,527.60",213867
30-Jan-2025,EQ,"758.55","765.00","754.75","758.45","764.50","762.60","760.64","912.00","615.60",11085824,"8,43,23,70,364.65",236993
29-Jan-2025,EQ,"753.00","760.80","749.80","752.40","758.50","758.45","757.35","912.00","615.60",9251973,"7,00,69,56,312.60",267695
28-Jan-2025,EQ,"757.00","759.75","745.40","749.20","752.15","752.40","752.61","912.00","615.60",14140860,"10,64,26,22,577.40",282284
27-Jan-2025,EQ,"740.00","755.35","735.90","744.15","747.50","749.20","748.97","912.00","615.60",11433353,"8,56,32,57,255.50",227844
24-Jan-2025,EQ,"749.90","753.70","739.00","745.90","744.50","744.15","746.32","912.00","600.65",10579213,"7,89,54,35,197.00",174627
