DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Mar-2025,EQ,"277.70","277.70","262.20","277.75","268.20","268.55","266.29","596.00","262.20",18584311,"4,94,88,46,757.60",180741
11-Mar-2025,EQ,"277.00","279.30","273.20","280.90","278.70","277.75","275.82","596.00","273.20",8602609,"2,37,27,41,878.50",100269
10-Mar-2025,EQ,"284.45","285.65","277.95","284.80","280.80","280.90","281.32","596.00","276.30",8165123,"2,29,70,16,799.55",98734
07-Mar-2025,EQ,"287.40","287.70","282.90","285.90","284.40","284.80","285.26","596.00","276.30",8097300,"2,30,98,72,112.20",81562
06-Mar-2025,EQ,"288.45","292.00","283.50","285.10","285.25","285.90","285.85","596.00","276.30",9782051,"2,79,61,73,602.05",105031
05-Mar-2025,EQ,"281.40","286.95","278.65","280.00","284.60","285.10","284.49","596.00","276.30",10285712,"2,92,61,54,712.60",108693
04-Mar-2025,EQ,"279.00","283.10","276.30","283.55","279.85","280.00","280.56","596.00","276.30",9331785,"2,61,80,94,291.45",111451
03-Mar-2025,EQ,"279.45","286.35","279.30","277.65","283.30","283.55","283.56","596.00","277.00",11471554,"3,25,28,21,497.10",135618
28-Feb-2025,EQ,"294.00","294.00","277.00","294.50","278.50","277.65","280.80","596.00","277.00",17458839,"4,90,25,04,059.10",179013
27-Feb-2025,EQ,"294.00","295.80","291.35","291.30","292.35","294.50","293.73","596.00","280.50",15555649,"4,56,90,95,728.10",157896
25-Feb-2025,EQ,"294.35","296.30","290.10","295.05","291.30","291.30","292.64","596.00","280.50",10810040,"3,16,34,86,984.05",109038
24-Feb-2025,EQ,"302.95","303.30","293.35","306.35","295.00","295.05","296.26","596.00","280.50",12600963,"3,73,31,83,076.80",143817
21-Feb-2025,EQ,"312.80","312.80","305.05","313.30","305.80","306.35","308.19","596.00","280.50",8722925,"2,68,82,95,209.15",86732
20-Feb-2025,EQ,"311.20","314.30","310.25","314.10","313.10","313.30","312.82","596.00","280.50",7697134,"2,40,78,04,466.35",71909
19-Feb-2025,EQ,"311.25","316.50","308.30","312.20","313.20","314.10","313.54","596.00","280.50",7835672,"2,45,67,88,980.50",97876
18-Feb-2025,EQ,"305.35","312.75","305.35","305.35","311.50","312.20","309.21","596.00","280.50",10368789,"3,20,61,29,056.60",118208
17-Feb-2025,EQ,"308.10","310.30","302.00","308.10","306.10","305.35","304.55","596.00","280.50",7507772,"2,28,64,99,118.80",82489
14-Feb-2025,EQ,"310.05","312.40","304.55","308.55","308.15","308.10","307.44","596.00","280.50",7371341,"2,26,62,39,687.30",77927
13-Feb-2025,EQ,"310.30","313.65","306.95","310.20","309.00","308.55","310.11","596.00","280.50",8832731,"2,73,91,43,267.40",102188
12-Feb-2025,EQ,"313.45","315.75","309.35","313.00","310.05","310.20","311.56","596.00","280.50",9668342,"3,01,22,22,171.10",125445
11-Feb-2025,EQ,"319.50","320.40","311.60","319.05","312.75","313.00","314.52","596.00","280.50",10627890,"3,34,26,82,930.00",109307
10-Feb-2025,EQ,"318.80","321.00","315.85","318.00","319.00","319.05","318.97","596.00","280.50",12304840,"3,92,48,77,162.60",108216
07-Feb-2025,EQ,"319.00","319.00","314.00","317.95","317.00","318.00","317.33","596.00","280.50",8589587,"2,72,56,95,315.05",72987
06-Feb-2025,EQ,"320.00","323.60","314.55","317.10","317.30","317.95","318.05","596.00","280.50",15062390,"4,79,05,91,282.00",108568
05-Feb-2025,EQ,"317.80","321.45","314.90","316.25","316.75","317.10","316.99","596.00","280.50",9628027,"3,05,20,25,827.20",85969
04-Feb-2025,EQ,"318.00","318.85","313.35","313.60","316.15","316.25","315.89","596.00","280.50",15366864,"4,85,42,02,226.25",123243
03-Feb-2025,EQ,"303.00","314.00","300.30","304.80","313.10","313.60","310.58","596.00","280.50",14877076,"4,62,04,84,899.45",139269
01-Feb-2025,EQ,"312.55","313.25","303.35","311.90","305.55","304.80","307.30","596.00","280.50",6046117,"1,85,79,55,201.90",67619
31-Jan-2025,EQ,"311.70","315.70","309.55","309.00","312.20","311.90","311.84","596.00","280.50",15597644,"4,86,40,35,359.80",107818
30-Jan-2025,EQ,"311.00","313.70","305.95","312.45","309.50","309.00","309.73","596.00","280.50",9984186,"3,09,24,15,893.70",101415
29-Jan-2025,EQ,"305.05","314.70","305.05","303.60","312.00","312.45","311.14","596.00","280.50",16338112,"5,08,33,83,800.90",117876
28-Jan-2025,EQ,"304.00","307.60","301.55","307.95","304.95","303.60","304.14","596.00","280.50",12077491,"3,67,32,18,598.40",102233
27-Jan-2025,EQ,"317.80","319.15","306.75","320.10","308.00","307.95","312.00","596.00","280.50",12372895,"3,86,03,64,424.45",131012
24-Jan-2025,EQ,"319.00","322.50","316.60","317.70","319.95","320.10","319.91","596.00","280.50",17479586,"5,59,19,40,063.10",162614
23-Jan-2025,EQ,"311.10","324.60","310.65","309.10","317.70","317.70","319.20","596.00","280.50",39904371,"12,73,74,62,398.95",372523
22-Jan-2025,EQ,"299.35","310.00","299.35","298.35","309.90","309.10","306.19","596.00","280.50",30859317,"9,44,87,83,185.70",261178
21-Jan-2025,EQ,"302.40","305.85","297.80","300.25","298.15","298.35","300.92","596.00","280.50",15619474,"4,70,02,25,888.20",136792
20-Jan-2025,EQ,"302.00","305.40","296.95","281.95","300.50","300.25","301.18","596.00","280.50",39380165,"11,86,03,40,505.50",291765
17-Jan-2025,EQ,"287.80","287.80","280.50","288.05","281.70","281.95","283.15","596.00","280.50",9358955,"2,65,00,06,805.45",122143
16-Jan-2025,EQ,"295.90","296.50","286.70","292.65","288.85","288.05","289.09","596.00","286.55",10345666,"2,99,08,29,442.60",145955
15-Jan-2025,EQ,"293.00","294.70","289.70","292.85","292.60","292.65","292.07","596.00","286.55",4662694,"1,36,18,15,377.05",77903
14-Jan-2025,EQ,"291.80","294.55","286.55","291.85","292.90","292.85","291.88","596.00","286.55",7670070,"2,23,87,39,925.35",94571
13-Jan-2025,EQ,"298.95","299.25","290.25","300.55","292.55","291.85","293.47","596.00","289.30",9541248,"2,80,00,66,624.10",111331
10-Jan-2025,EQ,"294.30","303.25","294.30","292.30","299.65","300.55","300.03","596.00","289.30",19505556,"5,85,22,12,907.90",195857
09-Jan-2025,EQ,"297.00","298.00","291.35","297.55","292.55","292.30","293.67","596.00","289.30",7964702,"2,33,90,25,845.65",111802
08-Jan-2025,EQ,"293.00","298.45","289.30","294.05","296.70","297.55","293.58","596.00","289.30",7937785,"2,33,03,69,706.15",87090
07-Jan-2025,EQ,"294.30","297.50","291.30","294.30","293.90","294.05","293.59","596.00","289.30",7381943,"2,16,72,52,622.45",79777
06-Jan-2025,EQ,"295.00","297.80","290.55","294.45","294.00","294.30","294.25","596.00","289.30",9173687,"2,69,93,22,101.00",127575
03-Jan-2025,EQ,"303.30","303.80","294.00","303.80","295.20","294.45","296.46","596.00","289.30",12535720,"3,71,63,21,365.30",171050
02-Jan-2025,EQ,"298.00","304.45","297.15","300.30","303.00","303.80","301.60","596.00","289.30",8800435,"2,65,41,94,340.80",148575
01-Jan-2025,EQ,"300.00","303.35","298.95","301.85","300.60","300.30","300.50","596.00","289.30",7878201,"2,36,73,86,600.85",70506
31-Dec-2024,EQ,"300.95","303.00","295.25","303.70","302.00","301.85","299.75","596.00","289.30",9337030,"2,79,87,87,560.90",105060
30-Dec-2024,EQ,"309.10","309.40","302.65","309.10","304.00","303.70","304.43","596.00","289.30",13709891,"4,17,36,84,145.15",119604
27-Dec-2024,EQ,"305.20","310.90","304.70","305.05","309.40","309.10","308.98","596.00","289.30",8063921,"2,49,15,83,630.65",81568
26-Dec-2024,EQ,"305.40","306.95","304.00","305.30","304.80","305.05","305.27","596.00","289.30",6516148,"1,98,91,67,003.95",96741
24-Dec-2024,EQ,"307.50","309.20","302.80","307.90","305.75","305.30","305.67","596.00","289.30",8837902,"2,70,15,15,577.05",95955
23-Dec-2024,EQ,"306.60","310.65","305.00","305.20","307.50","307.90","307.78","596.00","289.30",6693583,"2,06,01,41,009.80",87521
20-Dec-2024,EQ,"315.50","320.00","304.40","312.75","305.85","305.20","308.59","596.00","289.30",22214824,"6,85,52,40,775.60",143471
19-Dec-2024,EQ,"306.35","313.40","301.15","312.60","312.75","312.75","309.27","596.00","289.30",12405595,"3,83,67,27,496.95",128282
18-Dec-2024,EQ,"309.00","313.25","308.55","308.85","311.95","312.60","312.08","596.00","289.30",10965226,"3,42,20,64,737.95",127057
17-Dec-2024,EQ,"311.00","312.25","307.30","309.20","308.90","308.85","309.01","596.00","289.30",10568517,"3,26,57,33,260.20",130871
16-Dec-2024,EQ,"310.00","311.40","307.10","309.95","308.70","309.20","308.69","596.00","289.30",7221189,"2,22,90,78,544.10",80436
13-Dec-2024,EQ,"309.10","311.05","304.20","309.10","310.25","309.95","308.51","596.00","289.30",7382211,"2,27,74,56,511.70",133262
12-Dec-2024,EQ,"308.00","313.80","307.45","309.00","309.55","309.10","310.88","596.00","289.30",12958440,"4,02,84,98,050.80",155980
11-Dec-2024,EQ,"308.15","309.90","305.55","308.10","308.70","309.00","308.21","596.00","289.30",8608406,"2,65,32,07,924.20",109206
10-Dec-2024,EQ,"306.00","311.00","303.45","303.75","308.00","308.10","308.09","596.00","289.30",17028502,"5,24,63,85,861.80",184274
09-Dec-2024,EQ,"295.00","305.70","293.75","297.35","305.30","303.75","300.30","596.00","289.30",9285213,"2,78,83,80,944.25",120217
06-Dec-2024,EQ,"299.15","299.15","296.20","299.30","297.40","297.35","297.51","596.00","289.30",7894350,"2,34,86,29,293.55",107637
05-Dec-2024,EQ,"295.00","300.90","293.90","294.00","299.15","299.30","297.56","596.00","289.30",13487264,"4,01,32,14,755.70",184617
04-Dec-2024,EQ,"294.65","297.00","291.80","291.65","294.30","294.00","294.48","596.00","289.30",14036431,"4,13,35,01,841.85",192217
03-Dec-2024,EQ,"295.35","296.20","289.30","584.55","291.80","291.65","291.48","596.00","289.30",15445286,"4,50,19,79,935.75",241078
